Area name,Mother tongue name,Persons
PUNJAB,ASSAMESE,4090
PUNJAB,BENGALI,27030
PUNJAB,BODO,243
PUNJAB,DOGRI,18155
PUNJAB,GUJARATI,13531
PUNJAB,HINDI,2594831
PUNJAB,KANNADA,3899
PUNJAB,KASHMIRI,2913
PUNJAB,KONKANI,165
PUNJAB,MAITHILI,9054
PUNJAB,MALAYALAM,9734
PUNJAB,MANIPURI,901
PUNJAB,MARATHI,20392
PUNJAB,NEPALI,22061
PUNJAB,ODIA,9969
PUNJAB,PUNJABI,24917885
PUNJAB,SANSKRIT,210
PUNJAB,SANTALI,233
PUNJAB,SINDHI,754
PUNJAB,TAMIL,10389
PUNJAB,TELUGU,9523
PUNJAB,URDU,27387
PUNJAB,ADI,30
PUNJAB,AFGHANI/KABULI/PASHTO,160
PUNJAB,ANAL,18
PUNJAB,ANGAMI,5
PUNJAB,AO,11
PUNJAB,ARABIC/ARBI,1115
PUNJAB,BALTI,4
PUNJAB,BHILI/BHILODI,1920
PUNJAB,BHOTIA,18
PUNJAB,BHUMIJ,6
PUNJAB,BISHNUPURIYA,30
PUNJAB,CHAKHESANG,2
PUNJAB,COORGI/KODAGU,9
PUNJAB,DIMASA,21
PUNJAB,ENGLISH,1888
PUNJAB,GADABA,1
PUNJAB,GANGTE,4
PUNJAB,GARO,35
PUNJAB,GONDI,13
PUNJAB,HALABI,1
PUNJAB,HALAM,6
PUNJAB,HMAR,37
PUNJAB,HO,26
PUNJAB,KABUI,1
PUNJAB,KHANDESHI,1137
PUNJAB,KHARIA,95
PUNJAB,KHASI,84
PUNJAB,KHEZHA,4
PUNJAB,KINNAURI,46
PUNJAB,KISAN,6
PUNJAB,KOCH,1
PUNJAB,KODA/KORA,2
PUNJAB,KOM,9
PUNJAB,KONYAK,8
PUNJAB,KORWA,27
PUNJAB,KUKI,231
PUNJAB,KURUKH/ORAON,195
PUNJAB,LADAKHI,99
PUNJAB,LAHAULI,1
PUNJAB,LAHNDA,24642
PUNJAB,LAKHER,1
PUNJAB,LEPCHA,2
PUNJAB,LIMBU,5
PUNJAB,LOTHA,14
PUNJAB,LUSHAI/MIZO,472
PUNJAB,MAO,1
PUNJAB,MARAM,1
